code,name,listingDate,shares,listingBoard
ADMG,Polychem Indonesia Tbk,1993-10-20T00:00:00,3889179559.0,Pengembangan
AGII,Samator Indo Gas Tbk.,2016-09-28T00:00:00,3066660000.0,Pengembangan
AKPI,Argha Karya Prima Industry Tbk,1992-12-18T00:00:00,612248000.0,Pengembangan
ALDO,Alkindo Naratama Tbk.,2011-07-12T00:00:00,2700713744.0,Pengembangan
ALKA,Alakasa Industrindo Tbk,1990-07-12T00:00:00,507665055.0,Pengembangan
ALMI,Alumindo Light Metal Industry ,1997-01-02T00:00:00,3816000000.0,Pemantauan Khusus
AMMN,Amman Mineral Internasional Tb,2023-07-07T00:00:00,72518217656.0,Utama
ANTM,Aneka Tambang Tbk.,1997-11-27T00:00:00,24030764725.0,Utama
APLI,Asiaplast Industries Tbk.,2000-05-01T00:00:00,1362671400.0,Pengembangan
ARCI,Archi Indonesia Tbk.,2021-06-28T00:00:00,24835000000.0,Pengembangan
AVIA,Avia Avian Tbk.,2021-12-08T00:00:00,61953555600.0,Utama
AYLS,Agro Yasa Lestari Tbk.,2020-02-12T00:00:00,853423236.0,Pengembangan
BAJA,Saranacentral Bajatama Tbk.,2011-12-21T00:00:00,1800000000.0,Pengembangan
BATR,Benteng Api Technic Tbk.,2024-06-10T00:00:00,3025000000.0,Pengembangan
BEBS,Berkah Beton Sadaya Tbk.,2021-03-10T00:00:00,45000000000.0,Pemantauan Khusus
BLES,Superior Prima Sukses Tbk.,2024-07-08T00:00:00,8890206400.0,Utama
BMSR,Bintang Mitra Semestaraya Tbk,1999-12-29T00:00:00,1159200024.0,Pengembangan
BRMS,Bumi Resources Minerals Tbk.,2010-12-09T00:00:00,141784040338.0,Utama
BRNA,Berlina Tbk.,1989-11-06T00:00:00,979110000.0,Pemantauan Khusus
BRPT,Barito Pacific Tbk.,1993-10-01T00:00:00,93747218044.0,Utama
BTON,Betonjaya Manunggal Tbk.,2001-07-18T00:00:00,720000000.0,Pemantauan Khusus
CHEM,Chemstar Indonesia Tbk.,2022-07-08T00:00:00,1700014594.0,Pengembangan
CITA,Cita Mineral Investindo Tbk.,2002-03-20T00:00:00,3960361250.0,Pemantauan Khusus
CLPI,Colorpak Indonesia Tbk.,2001-11-30T00:00:00,306338500.0,Pengembangan
CMNT,Cemindo Gemilang Tbk.,2021-09-08T00:00:00,17125504000.0,Utama
CTBN,Citra Tubindo Tbk.,1989-11-28T00:00:00,800371500.0,Pemantauan Khusus
DKFT,Central Omega Resources Tbk.,1997-11-21T00:00:00,5638246600.0,Pengembangan
DPNS,Duta Pertiwi Nusantara Tbk.,1990-08-08T00:00:00,331129952.0,Pengembangan
EKAD,Ekadharma International Tbk.,1990-08-14T00:00:00,3493875000.0,Pengembangan
EPAC,Megalestari Epack Sentosaraya ,2020-07-01T00:00:00,3303400000.0,Pemantauan Khusus
ESIP,Sinergi Inti Plastindo Tbk.,2019-11-14T00:00:00,1109953847.0,Pemantauan Khusus
ESSA,ESSA Industries Indonesia Tbk.,2012-02-01T00:00:00,17226975700.0,Utama
ETWA,Eterindo Wahanatama Tbk,1997-05-16T00:00:00,4668671400.0,Pemantauan Khusus
FASW,Fajar Surya Wisesa Tbk.,1994-12-19T00:00:00,2477888787.0,Pemantauan Khusus
FPNI,Lotte Chemical Titan Tbk.,2002-03-21T00:00:00,5566414000.0,Pengembangan
FWCT,Wijaya Cahaya Timber Tbk.,2023-02-01T00:00:00,1875000000.0,Pengembangan
GDST,Gunawan Dianjaya Steel Tbk.,2009-12-23T00:00:00,9242500000.0,Pengembangan
GGRP,Gunung Raja Paksi Tbk.,2019-09-19T00:00:00,12111376157.0,Pemantauan Khusus
HKMU,HK Metals Utama Tbk.,2018-10-09T00:00:00,3221750000.0,Pemantauan Khusus
IFII,Indonesia Fibreboard Industry ,2019-12-10T00:00:00,9412000000.0,Pengembangan
IFSH,Ifishdeco Tbk.,2019-12-05T00:00:00,2125000000.0,Pengembangan
IGAR,Champion Pacific Indonesia Tbk,1990-11-05T00:00:00,972204500.0,Pengembangan
INAI,Indal Aluminium Industry Tbk.,1994-12-05T00:00:00,633600000.0,Pengembangan
INCF,Indo Komoditi Korpora Tbk.,2016-09-06T00:00:00,1438370465.0,Pemantauan Khusus
INCI,Intanwijaya Internasional Tbk,1990-07-24T00:00:00,207656617.0,Pengembangan
INCO,Vale Indonesia Tbk.,1990-05-16T00:00:00,10539784534.0,Utama
INKP,Indah Kiat Pulp & Paper Tbk.,1990-07-16T00:00:00,5470982941.0,Utama
INRU,Toba Pulp Lestari Tbk.,1990-06-18T00:00:00,1388883283.0,Pengembangan
INTD,Inter Delta Tbk,1989-12-18T00:00:00,591828000.0,Pengembangan
INTP,Indocement Tunggal Prakarsa Tb,1989-12-05T00:00:00,3681231699.0,Utama
IPOL,Indopoly Swakarsa Industry Tbk,2010-07-09T00:00:00,6443379509.0,Pengembangan
ISSP,Steel Pipe Industry of Indones,2013-02-22T00:00:00,7185992035.0,Utama
JKSW,Jakarta Kyoei Steel Works Tbk.,1997-08-06T00:00:00,150000000.0,Pemantauan Khusus
KAYU,Darmi Bersaudara Tbk.,2019-07-04T00:00:00,665000000.0,Pemantauan Khusus
KBRI,Kertas Basuki Rachmat Indonesi,2008-07-11T00:00:00,8687995734.0,Pemantauan Khusus
KDSI,Kedawung Setia Industrial Tbk.,1996-07-29T00:00:00,405000000.0,Pemantauan Khusus
KKES,Kusuma Kemindo Sentosa Tbk.,2022-08-08T00:00:00,1500000000.0,Pemantauan Khusus
KMTR,Kirana Megatara Tbk.,2017-06-19T00:00:00,8215366379.0,Pengembangan
KRAS,Krakatau Steel (Persero) Tbk.,2010-11-10T00:00:00,19346396900.0,Pengembangan
LMSH,Lionmesh Prima Tbk.,1990-06-04T00:00:00,96000000.0,Pemantauan Khusus
LTLS,Lautan Luas Tbk.,1997-07-21T00:00:00,1560000000.0,Utama
MBMA,Merdeka Battery Materials Tbk.,2023-04-18T00:00:00,107995419900.0,Pengembangan
MDKA,Merdeka Copper Gold Tbk.,2015-06-19T00:00:00,24472983771.0,Utama
MDKI,Emdeki Utama Tbk.,2017-09-25T00:00:00,2530150002.0,Pengembangan
MOLI,Madusari Murni Indah Tbk.,2018-08-30T00:00:00,2724036581.0,Pengembangan
NCKL,Trimegah Bangun Persada Tbk.,2023-04-12T00:00:00,63098600000.0,Utama
NICE,Adhi Kartiko Pratama Tbk.,2024-01-09T00:00:00,6082020000.0,Pengembangan
NICL,PAM Mineral Tbk.,2021-07-09T00:00:00,10635644907.0,Pengembangan
NIKL,Pelat Timah Nusantara Tbk.,2009-12-14T00:00:00,2523350000.0,Pengembangan
NPGF,Nusa Palapa Gemilang Tbk.,2021-04-14T00:00:00,3240235840.0,Pemantauan Khusus
OBMD,OBM Drilchem Tbk.,2021-12-08T00:00:00,805992931.0,Pengembangan
OKAS,Ancora Indonesia Resources Tbk,2006-03-29T00:00:00,2373449165.0,Pengembangan
OPMS,Optima Prima Metal Sinergi Tbk,2019-09-23T00:00:00,1000000000.0,Pengembangan
PACK,Solusi Kemasan Digital Tbk.,2023-02-08T00:00:00,1537551491.0,Akselerasi
PBID,Panca Budi Idaman Tbk.,2017-12-13T00:00:00,7500000000.0,Utama
PDPP,Primadaya Plastisindo Tbk.,2022-11-09T00:00:00,3061341438.0,Pengembangan
PICO,Pelangi Indah Canindo Tbk,1996-09-23T00:00:00,568375000.0,Pengembangan
PPRI,Paperocks Indonesia Tbk.,2023-08-08T00:00:00,1075005569.0,Pengembangan
PSAB,J Resources Asia Pasifik Tbk.,2003-04-22T00:00:00,26460000000.0,Pengembangan
PURE,Trinitan Metals and Minerals T,2019-10-09T00:00:00,1375181505.0,Pemantauan Khusus
SAMF,Saraswanti Anugerah Makmur Tbk,2020-03-31T00:00:00,5125000000.0,Utama
SBMA,Surya Biru Murni Acetylene Tbk,2021-09-08T00:00:00,929926282.0,Pengembangan
SIMA,Siwani Makmur Tbk,1994-06-03T00:00:00,442589871.0,Pemantauan Khusus
SMBR,Semen Baturaja Tbk.,2013-06-28T00:00:00,9932534336.0,Utama
SMCB,Solusi Bangun Indonesia Tbk.,1977-08-10T00:00:00,9019381973.0,Pemantauan Khusus
SMGA,Sumber Mineral Global Abadi Tb,2024-01-30T00:00:00,8750000000.0,Pengembangan
SMGR,Semen Indonesia (Persero) Tbk.,1991-07-08T00:00:00,6751540089.0,Utama
SMKL,Satyamitra Kemas Lestari Tbk.,2019-07-11T00:00:00,3418085290.0,Pengembangan
SMLE,Sinergi Multi Lestarindo Tbk.,2024-01-10T00:00:00,2328126550.0,Pengembangan
SOLA,Xolare RCR Energy Tbk.,2024-05-08T00:00:00,3281250000.0,Pengembangan
SPMA,Suparma Tbk.,1994-11-16T00:00:00,3154092216.0,Pengembangan
SQMI,Wilton Makmur Indonesia Tbk.,2004-07-15T00:00:00,15537591429.0,Pengembangan
SRSN,Indo Acidatama Tbk,1993-01-11T00:00:00,6020000000.0,Pengembangan
SULI,SLJ Global Tbk.,1994-03-21T00:00:00,5730581103.0,Pengembangan
SWAT,Sriwahana Adityakarta Tbk.,2018-06-08T00:00:00,3019200000.0,Pemantauan Khusus
TALF,Tunas Alfin Tbk.,2014-01-17T00:00:00,1353435000.0,Pengembangan
TBMS,Tembaga Mulia Semanan Tbk.,1990-05-23T00:00:00,734680000.0,Pengembangan
TDPM,Tianrong Chemicals Industry Tb,2018-04-09T00:00:00,10485050500.0,Pemantauan Khusus
TINS,Timah Tbk.,1995-10-19T00:00:00,7447753454.0,Utama
