code,name,listingDate,shares,listingBoard
AALI,Astra Agro Lestari Tbk.,1997-12-09T00:00:00,1924688333.0,Utama
ADES,Akasha Wira International Tbk.,1994-06-13T00:00:00,589896800.0,Pemantauan Khusus
AGAR,Asia Sejahtera Mina Tbk.,2019-12-02T00:00:00,1000000000.0,Pengembangan
AISA,FKS Food Sejahtera Tbk.,1997-06-11T00:00:00,9311800000.0,Utama
ALTO,Tri Banyan Tirta Tbk.,2012-07-10T00:00:00,2191870558.0,Pemantauan Khusus
AMMS,Agung Menjangan Mas Tbk.,2022-08-04T00:00:00,1200053972.0,Akselerasi
AMRT,Sumber Alfaria Trijaya Tbk.,2009-01-15T00:00:00,41524501700.0,Utama
ANDI,Andira Agro Tbk.,2018-08-16T00:00:00,9350000000.0,Pemantauan Khusus
ANJT,Austindo Nusantara Jaya Tbk.,2013-05-08T00:00:00,3354175000.0,Pengembangan
ASHA,Cilacap Samudera Fishing Indus,2022-05-27T00:00:00,5000000000.0,Pemantauan Khusus
AYAM,Janu Putra Sejahtera Tbk.,2023-11-30T00:00:00,4000000000.0,Pengembangan
BEEF,Estika Tata Tiara Tbk.,2019-01-10T00:00:00,7031371419.0,Pengembangan
BEER,Jobubu Jarum Minahasa Tbk.,2023-01-06T00:00:00,4000000000.0,Pengembangan
BISI,BISI International Tbk.,2007-05-28T00:00:00,3000000000.0,Utama
BOBA,Formosa Ingredient Factory Tbk,2021-11-01T00:00:00,1155750000.0,Pengembangan
BTEK,Bumi Teknokultura Unggul Tbk,2004-05-14T00:00:00,46277496376.0,Pemantauan Khusus
BUAH,Segar Kumala Indonesia Tbk.,2022-08-09T00:00:00,1000000000.0,Pengembangan
BUDI,Budi Starch & Sweetener Tbk.,1995-05-08T00:00:00,4498997362.0,Utama
BWPT,Eagle High Plantations Tbk.,2009-10-27T00:00:00,31525291000.0,Utama
CAMP,Campina Ice Cream Industry Tbk,2017-12-19T00:00:00,5885000000.0,Pengembangan
CBUT,Citra Borneo Utama Tbk.,2022-11-08T00:00:00,3125000000.0,Utama
CEKA,Wilmar Cahaya Indonesia Tbk.,1996-07-09T00:00:00,595000000.0,Pengembangan
CLEO,Sariguna Primatirta Tbk.,2017-05-05T00:00:00,12000000000.0,Utama
CMRY,Cisarua Mountain Dairy Tbk.,2021-12-06T00:00:00,7934683000.0,Utama
COCO,Wahana Interfood Nusantara Tbk,2019-03-20T00:00:00,889863981.0,Pengembangan
CPIN,Charoen Pokphand Indonesia Tbk,1991-03-18T00:00:00,16398000000.0,Utama
CPRO,Central Proteina Prima Tbk.,2006-11-28T00:00:00,59572382787.0,Pengembangan
CRAB,Toba Surimi Industries Tbk.,2022-08-10T00:00:00,1950000000.0,Pengembangan
CSRA,Cisadane Sawit Raya Tbk.,2020-01-09T00:00:00,2050000000.0,Pengembangan
DAYA,Duta Intidaya Tbk.,2016-06-28T00:00:00,2420547025.0,Pengembangan
DEWI,Dewi Shri Farmindo Tbk.,2022-07-18T00:00:00,2000000000.0,Pengembangan
DLTA,Delta Djakarta Tbk.,1984-02-27T00:00:00,800659050.0,Utama
DMND,Diamond Food Indonesia Tbk.,2020-01-22T00:00:00,9468359000.0,Pemantauan Khusus
DPUM,Dua Putra Utama Makmur Tbk.,2015-12-08T00:00:00,4175000000.0,Pemantauan Khusus
DSFI,Dharma Samudera Fishing Indust,2000-03-24T00:00:00,1857135500.0,Pengembangan
DSNG,Dharma Satya Nusantara Tbk.,2013-06-14T00:00:00,10599842400.0,Utama
ENZO,Morenzo Abadi Perkasa Tbk.,2020-09-14T00:00:00,2162547122.0,Pemantauan Khusus
EPMT,Enseval Putera Megatrading Tbk,1994-08-01T00:00:00,2708640000.0,Pengembangan
EURO,Estee Gold Feet Tbk.,2022-08-08T00:00:00,2548826428.0,Akselerasi
FAPA,FAP Agri Tbk.,2021-01-04T00:00:00,3629411800.0,Pengembangan
FISH,FKS Multi Agro Tbk.,2002-01-18T00:00:00,480000000.0,Pemantauan Khusus
FLMC,Falmaco Nonwoven Industri Tbk.,2021-07-08T00:00:00,781250000.0,Akselerasi
FOOD,Sentra Food Indonesia Tbk.,2019-01-08T00:00:00,650000000.0,Pengembangan
GGRM,Gudang Garam Tbk.,1990-08-27T00:00:00,1924088000.0,Utama
GOLL,Golden Plantation Tbk.,2014-12-23T00:00:00,3665000759.0,Pemantauan Khusus
GOOD,Garudafood Putra Putri Jaya Tb,2018-10-10T00:00:00,36897901455.0,Utama
GRPM,Graha Prima Mentari Tbk.,2023-07-10T00:00:00,1545055259.0,Akselerasi
GULA,Aman Agrindo Tbk.,2022-08-03T00:00:00,1070362500.0,Pengembangan
GUNA,Gunanusa Eramandiri Tbk.,2024-07-09T00:00:00,2500000000.0,Pengembangan
GZCO,Gozco Plantations Tbk.,2008-05-15T00:00:00,6000000000.0,Pengembangan
HERO,Hero Supermarket Tbk.,1989-08-21T00:00:00,4183634000.0,Pengembangan
HMSP,H.M. Sampoerna Tbk.,1990-08-15T00:00:00,116318076900.0,Pengembangan
HOKI,Buyung Poetra Sembada Tbk.,2017-06-22T00:00:00,9677752680.0,Utama
IBOS,Indo Boga Sukses Tbk.,2022-04-25T00:00:00,8065789529.0,Akselerasi
ICBP,Indofood CBP Sukses Makmur Tbk,2010-10-07T00:00:00,11661908000.0,Utama
IKAN,Era Mandiri Cemerlang Tbk.,2020-02-12T00:00:00,833333000.0,Pemantauan Khusus
INDF,Indofood Sukses Makmur Tbk.,1994-07-14T00:00:00,8780426500.0,Utama
IPPE,Indo Pureco Pratama Tbk.,2021-12-09T00:00:00,4600000000.0,Pemantauan Khusus
ISEA,Indo American Seafoods Tbk.,2024-07-08T00:00:00,1390000000.0,Pengembangan
ITIC,Indonesian Tobacco Tbk.,2019-07-04T00:00:00,940720000.0,Pengembangan
JARR,Jhonlin Agro Raya Tbk.,2022-08-04T00:00:00,9230665050.0,Utama
JAWA,Jaya Agra Wattie Tbk.,2011-05-30T00:00:00,16232951842.0,Pengembangan
JPFA,Japfa Comfeed Indonesia Tbk.,1989-10-23T00:00:00,11726575201.0,Utama
KEJU,Mulia Boga Raya Tbk.,2019-11-25T00:00:00,1500000000.0,Pengembangan
