code,name,listingDate,shares,listingBoard
AKSI,Mineral Sumberdaya Mandiri Tbk,2001-07-13T00:00:00,720000000.0,Pengembangan
ASSA,Adi Sarana Armada Tbk.,2012-11-12T00:00:00,3691137517.0,Utama
BIRD,Blue Bird Tbk.,2014-11-05T00:00:00,2502100000.0,Utama
BLTA,Berlian Laju Tanker Tbk,1990-03-26T00:00:00,25940187103.0,Pemantauan Khusus
BPTR,Batavia Prosperindo Trans Tbk.,2018-07-09T00:00:00,3534000000.0,Pengembangan
CMPP,AirAsia Indonesia Tbk.,1994-12-08T00:00:00,10685124441.0,Pemantauan Khusus
DEAL,Dewata Freightinternational Tb,2018-11-11T00:00:00,1146170959.0,Pemantauan Khusus
ELPI,Pelayaran Nasional Ekalya Purn,2022-08-08T00:00:00,7412000000.0,Utama
GIAA,Garuda Indonesia (Persero) Tbk,2011-02-11T00:00:00,91480783837.0,Pemantauan Khusus
GTRA,Grahaprima Suksesmandiri Tbk.,2023-03-30T00:00:00,1894375000.0,Pengembangan
HAIS,Hasnur Internasional Shipping ,2021-09-01T00:00:00,2626250000.0,Pengembangan
HATM,Habco Trans Maritima Tbk.,2022-07-26T00:00:00,7000000000.0,Utama
HELI,Jaya Trishindo Tbk.,2018-03-27T00:00:00,832862387.0,Pengembangan
IMJS,Indomobil Multi Jasa Tbk.,2013-12-10T00:00:00,8654325000.0,Pengembangan
JAYA,Armada Berjaya Trans Tbk.,2019-02-21T00:00:00,798499394.0,Pengembangan
KJEN,Krida Jaringan Nusantara Tbk.,2019-07-01T00:00:00,500000000.0,Pengembangan
KLAS,Pelayaran Kurnia Lautan Semest,2023-06-12T00:00:00,2165000000.0,Pengembangan
LAJU,Jasa Berdikari Logistics Tbk.,2023-01-27T00:00:00,2149942974.0,Pengembangan
LOPI,Logisticsplus International Tb,2023-10-11T00:00:00,1100006916.0,Akselerasi
LRNA,Eka Sari Lorena Transport Tbk.,2014-04-15T00:00:00,350000022.0,Pengembangan
MIRA,Mitra International Resources ,1997-01-30T00:00:00,3961452039.0,Pemantauan Khusus
MITI,Mitra Investindo Tbk.,1997-07-16T00:00:00,3540735503.0,Pengembangan
MPXL,MPX Logistics International Tb,2023-05-09T00:00:00,2000014587.0,Pengembangan
NELY,Pelayaran Nelly Dwi Putri Tbk.,2012-10-11T00:00:00,2350000000.0,Pengembangan
PPGL,Prima Globalindo Logistik Tbk.,2020-07-20T00:00:00,771178020.0,Akselerasi
PURA,Putra Rajawali Kencana Tbk.,2020-01-29T00:00:00,6301930902.0,Pemantauan Khusus
RCCC,Utama Radar Cahaya Tbk.,2022-08-02T00:00:00,787500000.0,Akselerasi
SAFE,Steady Safe Tbk,1994-08-15T00:00:00,615145012.0,Pemantauan Khusus
SAPX,Satria Antaran Prima Tbk.,2018-10-03T00:00:00,833333300.0,Pemantauan Khusus
SDMU,Sidomulyo Selaras Tbk.,2011-07-12T00:00:00,1135225000.0,Pemantauan Khusus
SMDR,Samudera Indonesia  Tbk.,1999-07-05T00:00:00,16375600000.0,Utama
TAXI,Express Transindo Utama Tbk.,2012-11-02T00:00:00,10223647156.0,Pemantauan Khusus
TMAS,Temas Tbk.,2003-07-09T00:00:00,57051500000.0,Utama
TNCA,Trimuda Nuansa Citra Tbk.,2018-06-28T00:00:00,421640000.0,Pengembangan
TRJA,Transkon Jaya Tbk.,2020-08-27T00:00:00,1510200000.0,Pengembangan
TRUK,Guna Timur Raya Tbk.,2018-05-23T00:00:00,435000000.0,Pengembangan
WEHA,WEHA Transportasi Indonesia Tb,2007-05-31T00:00:00,1460554819.0,Pengembangan
