code,name,listingDate,shares,listingBoard
ADCP,Adhi Commuter Properti Tbk.,2021-05-21T00:00:00,22222222200.0,Pengembangan
AMAN,Makmur Berkah Amanda Tbk.,2020-03-13T00:00:00,3873500000.0,Pengembangan
APLN,Agung Podomoro Land Tbk.,2010-11-11T00:00:00,22699326779.0,Utama
ARMY,Armidian Karyatama Tbk.,2017-06-21T00:00:00,9006250000.0,Pemantauan Khusus
ASPI,Andalan Sakti Primaindo Tbk.,2020-02-17T00:00:00,681823317.0,Pengembangan
ASRI,Alam Sutera Realty Tbk.,2007-12-18T00:00:00,19649411888.0,Utama
ATAP,Trimitra Prawara Goldland Tbk.,2020-12-11T00:00:00,1250000000.0,Pengembangan
BAPA,Bekasi Asri Pemula Tbk.,2008-01-14T00:00:00,661784520.0,Pengembangan
BAPI,Bhakti Agung Propertindo Tbk.,2019-09-16T00:00:00,5591980103.0,Pemantauan Khusus
BBSS,Bumi Benowo Sukses Sejahtera T,2020-04-15T00:00:00,4800016020.0,Pengembangan
BCIP,Bumi Citra Permai Tbk.,2009-12-11T00:00:00,1429915525.0,Pengembangan
BEST,Bekasi Fajar Industrial Estate,2012-04-10T00:00:00,9647311150.0,Utama
BIKA,Binakarya Jaya Abadi Tbk.,2015-07-14T00:00:00,592280000.0,Pemantauan Khusus
BIPP,Bhuwanatala Indah Permai Tbk.,1995-10-23T00:00:00,5028669376.0,Pemantauan Khusus
BKDP,Bukit Darmo Property Tbk,2007-06-15T00:00:00,7513992252.0,Pengembangan
BKSL,Sentul City Tbk.,1997-07-28T00:00:00,167708902705.0,Pemantauan Khusus
BSBK,Wulandari Bangun Laksana Tbk.,2022-11-08T00:00:00,25091882375.0,Utama
BSDE,Bumi Serpong Damai Tbk.,2008-06-06T00:00:00,21171365812.0,Utama
CBPE,Citra Buana Prasida Tbk.,2023-01-06T00:00:00,1356250000.0,Pengembangan
CITY,Natura City Developments Tbk.,2018-09-28T00:00:00,5405188966.0,Pengembangan
COWL,Cowell Development Tbk.,2007-12-19T00:00:00,4871214021.0,Pemantauan Khusus
CPRI,Capri Nusa Satu Properti Tbk.,2019-04-11T00:00:00,2433379958.0,Pemantauan Khusus
CSIS,Cahayasakti Investindo Sukses ,2017-05-10T00:00:00,1307000000.0,Pemantauan Khusus
CTRA,Ciputra Development Tbk.,1994-03-28T00:00:00,18535695255.0,Utama
DADA,Diamond Citra Propertindo Tbk.,2020-02-14T00:00:00,7431530800.0,Pemantauan Khusus
DART,Duta Anggada Realty Tbk.,1990-05-08T00:00:00,3141390962.0,Pengembangan
DILD,Intiland Development Tbk.,1991-09-04T00:00:00,10365854185.0,Utama
DMAS,Puradelta Lestari Tbk.,2015-05-29T00:00:00,48198111100.0,Utama
DUTI,Duta Pertiwi Tbk,1994-11-02T00:00:00,1850000000.0,Pemantauan Khusus
ELTY,Bakrieland Development Tbk.,1995-10-30T00:00:00,43521913019.0,Pemantauan Khusus
EMDE,Megapolitan Developments Tbk.,2011-01-12T00:00:00,3350000000.0,Pengembangan
